itemNumber,path,url,main,show
100.031UK,1/0/100031UK_DI.jpg,https://www.avsl.com/assets/images/1/0/100031UK_DI.jpg,0,0
100.031UK,1/0/100031UK_TD1.jpg,https://www.avsl.com/assets/images/1/0/100031UK_TD1.jpg,0,1
100.031UK,1/0/100031UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100031UK_CO1.jpg,1,1
100.031UK,1/0/100031UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100031UK_IN1.jpg,0,1
100.031UK,1/0/100031UK_IN2.jpg,https://www.avsl.com/assets/images/1/0/100031UK_IN2.jpg,0,1
100.035UK,1/0/100035UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100035UK_CO1.jpg,1,1
100.053UK,1/0/100053UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100053UK_CO1.jpg,1,1
100.053UK,1/0/100053UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100053UK_LS1.jpg,0,1
100.057UK,1/0/100057UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100057UK_LS1.jpg,0,1
100.057UK,1/0/100057UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100057UK_CO1.jpg,1,1
100.057UK,1/0/100057UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100057UK_LS2.jpg,0,1
100.057UK,1/0/100057UK_CO4.jpg,https://www.avsl.com/assets/images/1/0/100057UK_CO4.jpg,0,1
100.057UK,1/0/100057UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100057UK_CO2.jpg,0,0
100.057UK,1/0/100057UK_CO3.jpg,https://www.avsl.com/assets/images/1/0/100057UK_CO3.jpg,0,0
100.057UK,1/0/100057UK_CO5.jpg,https://www.avsl.com/assets/images/1/0/100057UK_CO5.jpg,0,1
100.058UK,1/0/100058UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100058UK_CO1.jpg,1,1
100.058UK,1/0/100058UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100058UK_CO2.jpg,0,1
100.058UK,1/0/100058UK_CO3.jpg,https://www.avsl.com/assets/images/1/0/100058UK_CO3.jpg,0,0
