itemNumber,modelNumber,shortDescription,mainHeading,mainDescription,bullets,specifications,specVersions,brandName,packagedWeight,dateModified,category_id,categoryPathIDs,categoryPathTitle,categoryPathUrl,stockLevelHint,sspGBP,featured_image,product_image_gallery
100.031UK,RC5,5 Inch Ceiling Speaker 35W,Ceiling Speaker,"A wide range speaker with a 13cm (5.25"") polypropylene cone foam rubber surround to minimise distortion. The housing is made from white ABS with a rigid steel grille also in white to mount discreetly into a ceiling.","130mm (5.25"") polypropylene wide range speaker[br]Fitted with “dog-ear” mounts for quick installation[br]Fitted with attractive metal grille[br]Spring terminal connections","Power max.[tab]35W[br]Frequency response[tab]100Hz - 12kHz[br]Impedance[tab]8 ohms[br]Mounting depth[tab]54mm[br]Dimensions[tab]60 x 190mmØ[br]Weight[tab]1.25kg[br]Cutout[tab]170mmØ[br]SPL max.[tab]88dB[br]Woofer[tab]130mm (5.25"") PP cone[br]Power rms[tab]20W",,Adastra,1.25,22/09/2023 9:44,115,"1,100,113,115",Loudspeakers -> Ceiling -> Low Impedance,loudspeakers/ceiling/low-impedance,100+,16.99,https://www.avsl.com/assets/images/1/0/100031UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100031UK_DI.jpg
100.035UK,SH27,SH27 Stereo headphones,Lightweight Stereo Headphones,"A pair of stereo headphones with foam earpads, adjustable headband and great sound reproduction. Ideal for audio tours.",Adjustable headband[br]Supplied with 6.3mmØ stereo adaptor[br]Mylar speakers with foam earpads,Cable[tab]0.9m[br]Connector[tab]3.5mm stereo jack[br]Frequency response[tab]20Hz-18kHz[br]Impedance[tab]32 Ohms[br]Speaker size[tab]27mmØ,,AV:Link,0.054,11/11/2022 10:26,213,"1,203,213",Headphones -> Lightweight,headphones/lightweight,1000+,2.99,https://www.avsl.com/assets/images/1/0/100035UK_CO1.jpg,
100.053UK,,Lightweight Stereo Headphones,Lightweight Stereo Headphones,Stylish stereo headphones with an adjustable headband and low-profile padded earcups. Ideal for use in any situation where long-lasting comfort is a must.,Neodymium magnet drivers[br]Superior sound in a compact package[br]Unobtrusive 1.2m lead[br]3.5mm right angle jack plug,Speaker size[tab]27mmØ[br]Sensitivity[tab]102dB @ 1kHz[br]Impedance[tab]32 Ohms (±15%)[br]Frequency response[tab]20Hz-20kHz[br]Power[tab]100mW[br]Lead length[tab]1.2m[br]Connector[tab]3.5mm Stereo jack,,AV:Link,0.165,06/06/2023 11:36,213,"1,203,213",Headphones -> Lightweight,headphones/lightweight,500+,4.49,https://www.avsl.com/assets/images/1/0/100053UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100053UK_LS1.jpg
100.057UK,,Multimedia Headset with Microphone,Multimedia Headset with Microphone,"A stylish and lightweight headset combining headphones and an omnidirectional boom microphone. Ideal for multimedia and communication purposes it features an in-line volume control, adjustable headband and soft padded earcups that provide long-lasting comfort in use. Simple plug and play installation to your PC, laptop, console or smartphone makes it ideal for use with many of today's online games and communications applications.","Superior build and sound quality[br]Sensitive Omnidirectional boom microphone[br]1.8m lead with in-line volume control[br]Adjustable headband and super soft padded earcups for comfort in use[br]Simple plug and play 3.5mm connection to your PC, laptop, console and smartphone[br]Ideal for use with communication apps such as Microsoft Teams, Zoom, Skype, Cisco Webex, Google Meet and more[br]Supplied with 3.5mm splitter cable for connection to older PC's and notebooks",Speaker size[tab]30mmØ[br]Frequency response : headphone[tab]20Hz - 20kHz[br]Impedance : headphone[tab]32ohm at 1kHz[br]Impedance : microphone[tab]32ohm at 1kHz[br]Sensitivity : headphone[tab]100dB+/-3dB (1KHz 1mW)[br]Sensitivity : microphone[tab]-40dB+/-3dB (1KHZ)[br]Cable : length[tab]1.8m[br]Connection[tab]3.5mm (4 pole),,AV:Link,0.165,29/03/2021 14:13,210,"1,203,208,210",Headphones -> Headsets -> Lightweight,headphones/headsets/lightweight,100+,11.99,https://www.avsl.com/assets/images/1/0/100057UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100057UK_LS1.jpg
100.058UK,,USB Multimedia Headset with Boom Microphone,USB Multimedia Headset with Microphone,"A stylish and lightweight USB headset combining headphones and an omnidirectional boom microphone. Ideal for multimedia and communication purposes it features an in-line control panel for volume and mute functions, adjustable headband and soft padded earcups that provide long-lasting comfort in use. Simple plug and play installation to your PC, laptop or Chromebook makes it ideal for use with many of today's online communications applications.","Superior build and sound quality[br]Sensitive Omnidirectional boom microphone[br]1.8m lead with in-line control panel for volume and mute functions[br]Adjustable headband and super soft padded earcups for comfort in use[br]Simple plug and play USB connection to your PC, laptop or Chromebook[br]Ideal for use with communication apps such as Microsoft Teams, Zoom, Skype, Cisco Webex, Google Meet and more",Speaker size[tab]30mmØ[br]Frequency response : headphone[tab]20Hz - 20kHz[br]Impedance : headphone[tab]32ohm at 1kHz[br]Impedance : microphone[tab]32ohm at 1kHz[br]Sensitivity : headphone[tab]100dB+/-3dB (1KHz 1mW)[br]Sensitivity : microphone[tab]-40dB+/-3dB (1KHZ)[br]Power[tab]DC5V[br]Cable : length[tab]1.8m (±10%)[br]Connection[tab]USB2.0,,AV:Link,0.165,25/05/2022 9:03,210,"1,203,208,210",Headphones -> Headsets -> Lightweight,headphones/headsets/lightweight,500+,15.99,https://www.avsl.com/assets/images/1/0/100058UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100058UK_CO2.jpg
100.100UK,CPH40-DJ,Professional Studio Monitor Headphones,Professional Studio Monitor Headphones,Professional quality studio monitor headphones built specifically for all stages of the music production process. The cutting edge design provides excellent sound insulation and ensures a comfortable fit even during long recording and mixing sessions. Dynamic 40mm speaker drivers deliver pristine sound across the frequencies and excellent bass response for precise monitoring. Swivel and rotate ear cups offer the perfect angle for any application and the interchangeable twist and lock connection cable provides additional convenience.,Dynamic 40mm speaker drivers deliver studio sound quality[br]Fully enclosed design provides excellent sound insulation and bass response[br]Soft cushioned leather ear pads and headband provide comfort during long studio sessions[br]Swivel and rotate ear cup mechanism provides the correct angle for your needs[br]Twist and lock coiled 3.5mm lead connects to either ear cup for added convenience[br]Supplied with compact hard shell carry case and 6.3mm stereo plug adapter,"Speaker : driver[tab]40mmØ[br]Frequency response[tab]20Hz - 20KHz[br]Sensitivity[tab]103±3db[br]Impedance[tab]32 Ohms[br]Connections[tab]3.5mm stereo mini jack, 6.3mm stereo jack adaptor[br]Weight[tab]242g (without cable)[br]Lead length[tab]1.5m coiled, 3m extended",,Citronic,0.52,24/08/2023 9:50,212,"1,203,212",Headphones -> Full Size,headphones/full-size,100+,44.99,https://www.avsl.com/assets/images/1/0/100100UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100100UK_CO2.jpg
100.105UK,QDJH-40,DJ Style Wired Headphones,Wired DJ Headphones,Lightweight DJ headphones with 40mm dynamic speaker drivers and folding/rotating earcups to cater for any mixing preference. The soft cushioned ear pads and headband provide comfort during longer studio sessions and the 1.5m hard wired lead with a moulded 3.5mm stereo jack plus a 6.3mm adapter allows connection to virtually any DJ mixer.,Dynamic 40mm speaker drivers[br]Soft cushioned ear pads and headband[br]Swivel and rotate ear cups provide the correct angle for any mixing preference[br]1.5m lead with 3.5mm stereo jack[br]Supplied with 6.3mm stereo plug adapter,"Speaker : driver[tab]40mmØ[br]Frequency response[tab]20Hz - 20KHz[br]Sensitivity (±3dB)[tab]103dB @ 1Khz[br]Impedance[tab]32 Ohms±15%[br]Rated power[tab]20MW[br]Connections[tab]3.5mm stereo mini jack, 6.3mm stereo jack adaptor[br]Lead length[tab]1.5m[br]Weight[tab]185g",,AV:Link,0.328,21/06/2024 12:09,212,"1,203,212",Headphones -> Full Size,headphones/full-size,500+,10.99,https://www.avsl.com/assets/images/1/0/100105UK_CO5.jpg,https://www.avsl.com/assets/images/1/0/100105UK_CO1.jpg
100.310UK,,Rubber Earphones w/Mic Red & Black,Rubberised Stereo Earphones with Hands-free,"Tough and eye-catching earphones, designed to withstand every day use while offering great sound and convenient features. Hard-wearing rubberised construction and flat, tangle-resistant cable make these perfect for life ‘on the go’. Use the inline track control and hands-free mic to take command of tunes and calls without missing a beat. Available in a range of stylish colour ways.","Hard-wearing rubberised finish[br]Flat, tangle-resistant cable[br]Slimline, gold 3.5mm headphone jack for optimum performance[br]Compatible with iOS and Android devices[br]Available in 4 eye-catching colour ways",Speaker : drivers[tab]10mmØ[br]Sensitivity[tab]98dB±3dB[br]Impedance[tab]16Ω±15%[br]Frequency response[tab]20-20khz[br]Microphone : sensitivity[tab]-42dB±3dB[br]Cable : length[tab]1.2m[br]Connector[tab]3.5mmØ,,AV:Link,0.0234,02/05/2023 16:16,214,"1,203,214",Headphones -> Earphones,headphones/earphones,0,4.99,https://www.avsl.com/assets/images/1/0/100310UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100310UK_CO2.jpg
100.311UK,,Rubber Earphones w/Mic Black & White,Rubberised Stereo Earphones with Hands-free,"Tough and eye-catching earphones, designed to withstand every day use while offering great sound and convenient features. Hard-wearing rubberised construction and flat, tangle-resistant cable make these perfect for life ‘on the go’. Use the inline track control and hands-free mic to take command of tunes and calls without missing a beat. Available in a range of stylish colour ways.","Hard-wearing rubberised finish[br]Flat, tangle-resistant cable[br]Slimline, gold 3.5mm headphone jack for optimum performance[br]Compatible with iOS and Android devices[br]Available in 4 eye-catching colour ways",Speaker : drivers[tab]10mmØ[br]Sensitivity[tab]98dB±3dB[br]Impedance[tab]16Ω±15%[br]Frequency response[tab]20-20khz[br]Microphone : sensitivity[tab]-42dB±3dB[br]Cable : length[tab]1.2m[br]Connector[tab]3.5mmØ,,AV:Link,0.0234,02/05/2023 16:16,214,"1,203,214",Headphones -> Earphones,headphones/earphones,500+,4.99,https://www.avsl.com/assets/images/1/0/100311UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100311UK_CO2.jpg
100.315UK,,Digital USB Type-C Wired Earphones,Digital USB Type-C Wired Earphones,Sleek and stylish earphones that provide both great sound performance and convenient features without burning a hole in your pocket. In-Built digital chip technology delivers impressive HiFi quality sound and an inline hands-free microphone and track control gives you the ability to listen to and take control of your favourite tunes or make and receive calls on the move. Compatible with a wide range of USB Type-C devices and both Google and Siri voice assistant when available.,"In-Built digital chip technology delivers impressive sound performance[br]Sleek, ergonomic design[br]In-line hands-free microphone and track control/volume buttons[br]Tough and durable build quality[br]Compatible with a wide range of USB Type-C devices[br]Compatible with Google and Siri voice assistant services",Speaker : drivers[tab]10mmØ[br]Sensitivity[tab]105dB±3[br]Impedance[tab]32 Ohms[br]Frequency response[tab]20hz-20khz[br]Cable : length[tab]1.2m[br]Connector[tab]USB Type-C[br]Weight[tab]12g,,AV:Link,0.0415,31/01/2023 14:15,214,"1,203,214",Headphones -> Earphones,headphones/earphones,100+,6.99,https://www.avsl.com/assets/images/1/0/100315UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100315UK_LS2.jpg
